Name;a;b;t;r2;r1
30x20x3;30;20;3;4;2
30x20x4;30;20;4;4;2
40x20x4;40;20;4;4;2
40x25x4;40;25;4;4;2,4
45x30x4;45;30;4;4,5;2,25
50x30x5;50;30;5;5;2,5
60x30x5;60;30;5;6;2,4
60x30x6;60;30;6;6;2,4
60x40x5;60;40;5;6;3
60x40x6;60;40;6;6;3
65x50x5;65;50;5;6;2,4
65x50x6;65;50;6;6;2,4
65x50x8;65;50;8;6;2,4
70x50x6;70;50;6;7;3,5
75x50x6;75;50;6;7;2,4
75x50x8;75;50;8;7;2,4
80x40x6;80;40;6;7;3,5
80x40x8;80;40;8;7;3,5
80x60x6;80;60;6;8;4,8
80x60x7;70;60;7;8;4,8
80x60x8;80;60;8;8;4,8
100x50x6;100;50;6;8;4
100x50x8;100;50;8;8;4
100x65x7;100;65;7;10;4,8
100x65x8;100;65;8;10;4,8
100x65x10;100;65;10;10;4,8
100x75x8;100;75;8;10;4,8
100x75x10;100;75;10;10;4,8
100x75x12;100;75;12;10;4,8
120x80x8;120;80;8;11;5,5
120x80x10;120;80;10;11;5,5
120x80x12;120;80;12;11;5,5
125x75x8;125;75;8;11;4,8
125x75x10;125;75;10;11;4,8
125x75x12;125;75;12;11;4,8
135x65x8;135;65;8;11;5,5
135x65x10;135;65;10;11;5,5
150x75x9;150;75;9;12;6
150x75x10;150;75;10;11;4,8
150x75x12;150;75;12;11;4,8
150x75x15;150;75;15;11;4,8
150x90x10;150;90;10;12;4,8
150x90x12;150;90;12;12;4,8
150x90x15;150;90;15;12;4,8
150x100x10;150;100;10;12;6
150x100x12;150;100;12;12;6
200x100x10;200;100;10;15;4,8
200x100x12;200;100;12;15;4,8
200x100x15;200;100;15;15;4,8
200x150x12;200;150;12;15;4,8
200x150x15;200;150;15;15;4,8
200x150x18;200;150;18;15;4,8
16x16x3;16;16;3;3,5;2
20x20x3;20;20;3;3,5;2
20x20x4;20;20;4;3,5;2
25x25x3;25;25;3;3,5;2
25x25x4;25;25;4;3,5;2
25x25x5;25;25;5;3,5;3
30x30x3;30;30;3;5;2
30x30x4;30;30;4;5;2
30x30x5;30;30;5;5;3
35x35x3;35;35;3;5;2
35x35x4;35;35;4;5;2
35x35x5;35;35;5;5;3
35x35x6;35;35;6;5;3
40x40x3;40;40;3;6;2
40x40x4;40;40;4;6;2
40x40x5;40;40;5;6;3
40x40x6;40;40;6;6;3
45x45x3;45;45;3;7;2
45x45x4;45;45;4;7;2
45x45x4.5;45;45;4,5;7;2
45x45x5;45;45;5;7;3
45x45x6;45;45;6;7;3
45x45x7;45;45;7;7;4
50x50x4;50;50;4;7;2
50x50x5;50;50;5;7;3
50x50x6;50;50;6;7;3
50x50x7;50;50;7;7;4
50x50x8;50;50;8;7;4
50x50x9;50;50;9;7;5
55x55x4;55;55;4;8;2
55x55x5;55;55;5;8;3
55x55x6;55;55;6;8;3
55x55x8;55;55;8;8;4
60x60x4;60;60;4;8;2
60x60x5;60;60;5;8;3
60x60x6;60;60;6;8;3
60x60x7;60;60;7;8;4
60x60x8;60;60;8;8;4
60x60x10;60;60;10;8;5
63x63x5;63;63;5;9;3
63x63x6;63;63;6;9;3
63x63x6.5;63;63;6,5;9;3
65x65x4;65;65;4;9;2
65x65x5;65;65;5;9;3
65x65x6;65;65;6;9;3
65x65x7;65;65;7;9;4
65x65x8;65;65;8;9;4
65x65x9;65;65;9;9;5
65x65x10;65;65;10;9;5
65x65x11;65;65;11;9;6
70x70x5;70;70;5;9;3
70x70x6;70;70;6;9;3
70x70x7;70;70;7;9;4
70x70x8;70;70;8;10;4
70x70x9;70;70;9;9;5
70x70x10;70;70;10;9;5
75x75x4;75;75;4;9;2
75x75x5;75;75;5;9;3
75x75x6;75;75;6;9;3
75x75x7;75;75;7;9;4
75x75x8;75;75;8;9;4
75x75x9;75;75;9;9;5
75x75x10;75;75;10;9;5
75x75x12;75;75;12;9;6
80x80x5;80;80;5;10;3
80x80x6;80;80;6;10;3
80x80x7;80;80;7;10;4
80x80x8;80;80;8;10;4
80x80x9;80;80;9;10;5
80x80x10;80;80;10;10;5
80x80x12;80;80;12;10;6
90x90x5;90;90;5;11;3
90x90x6;90;90;6;10;3
90x90x7;90;90;7;11;4
90x90x8;90;90;8;11;4
90x90x9;90;90;9;11;5
90x90x10;90;90;10;11;5
90x90x11;90;90;11;11;6
90x90x12;90;90;12;11;6
90x90x16;90;90;16;11;8
100x100x6;100;100;6;12;3
100x100x7;100;100;7;12;4
100x100x8;100;100;8;12;4
